LagList,Cost,Nu,Gamma,Correlacion
0.5,2,4,0.4,0.475206455345511
2,1,0.25,0.6,0.47519618202229
0.5,1,8,0.2,0.475166879642287
0.5,2,0.5,0.6,0.475149801421037
0.5,2,8,0.5,0.475143614869378
0.5,1,128,0.8,0.47508027525993
0.0625,6,8,0.6,0.475005812232096
0.0625,6,8,0.7,0.475002223007849
0.25,3,32,0.8,0.474986036356929
0.5,2,1,0.8,0.474968748696333
0.5,1,64,0.9,0.474900720327531
1,1,0.5,0.7,0.474871923025767
1,1,0.125,0.5,0.474775263183797
2,1,0.25,0.4,0.474771551417363
1,1,0.5,0.8,0.474729187961142
1,1,0.25,0.6,0.47459837561888
0.25,3,512,1,0.474508447799491
4,1,2,0.4,0.474472766281042
0.25,1,32,0.3,0.474469383489249
0.25,3,512,0.9,0.474426050594377
1,1,1,0.9,0.474392573008265
0.25,1,64,0.3,0.474248590318877
0.25,3,512,0.8,0.474237891597759
0.5,2,2,0.4,0.474147669192479
0.25,2,32,0.2,0.474125474256059
1,1,0.125,0.4,0.474054576723115
4,1,0.5,1,0.474044613160159
0.25,2,4,0.3,0.473983392413572
0.5,1,32,0.9,0.473975475414507
2,1,32,0.6,0.473867170836023
0.125,2,8,0.4,0.473640388500639
0.25,1,4,0.5,0.473527334417524
2,1,32,0.4,0.473498523788255
0.5,2,16,0.7,0.473493480889139
0.5,2,4,0.9,0.473237396763292
0.5,1,1,0.6,0.473212893014662
4,1,1,0.5,0.473199359957048
0.125,2,32,0.3,0.473185823758251
0.125,2,4,0.1,0.473102892448899
0.5,1,4,0.2,0.473035681468658
4,1,0.5,0.5,0.472979404212636
0.25,2,4,0.7,0.472694723787112
0.25,2,64,0.8,0.472672565096812
0.5,1,8,0.8,0.472632248397184
0.5,2,32,0.5,0.472624663987498
0.25,1,64,0.5,0.472443719003188
4,1,0.5,0.2,0.472101638750361
0.125,2,16,0.4,0.472021917025395
4,1,2,0.6,0.472014860171299
4,1,0.25,0.3,0.472007050555244
4,1,0.5,0.9,0.472006602389431
0.0625,6,4,0.5,0.47188278233053
4,1,4,0.7,0.47183347023554
0.25,2,32,0.7,0.471817633397036
0.5,1,0.5,0.3,0.471730219838529
0.5,2,64,0.6,0.471720890196375
0.125,7,4,0.6,0.471679380614377
4,1,0.5,0.8,0.4716471346924
0.25,2,1,0.7,0.4715674804751
0.25,1,16,0.3,0.471425189293426
0.125,5,16,0.7,0.47141981029876
4,1,4,0.8,0.471398644017467
1,1,64,0.3,0.471344463196826
0.25,1,128,0.3,0.471206978538878
0.125,2,64,0.2,0.471143314106008
0.5,1,2,0.2,0.471040117636126
0.125,2,1024,0.2,0.471039471462547
0.125,2,16,0.3,0.470921513947675
0.25,1,16,0.4,0.470886748948362
0.125,6,2,0.8,0.470872717598719
2,1,0.25,0.7,0.470838341549755
0.25,1,128,0.2,0.470822635994461
0.5,2,8,0.9,0.470821359642557
0.125,3,8,0.4,0.470767519069902
2,1,1,0.2,0.47072034294617
1,1,32,0.4,0.470710901333374
2,1,64,0.3,0.47066479401248
2,1,0.125,0.3,0.470646277057005
0.0625,2,1024,0.3,0.47061662672374
0.25,1,8,0.3,0.470609468019428
0.125,2,4,0.5,0.470579410005278
1,1,0.125,0.3,0.470564259025054
4,1,0.5,0.7,0.470505845992392
0.25,2,8,0.7,0.47048047687494
0.125,2,256,0.3,0.47046410630503
2,1,32,0.5,0.470450496329327
0.125,2,8,0.1,0.470432694915781
0.125,2,4,0.4,0.470236855971355
0.25,2,128,0.3,0.47020168351202
2,1,128,0.4,0.470061317011836
0.25,1,0.5,0.4,0.470046158205017
0.0625,2,64,0.1,0.469857474499638
1,1,2,1,0.469730888013373
0.5,1,32,0.6,0.469702955526007
2,1,0.5,1,0.469695986166101
0.25,1,0.5,0.5,0.469583809042451
0.25,2,256,0.7,0.469581850040734
0.5,2,0.5,0.5,0.469523543949888
0.25,1,1,0.5,0.469516158460697
0.5,2,8,1,0.469444683616997
0.125,3,2,0.7,0.469279349286437
0.25,1,32,0.4,0.469154393348463
0.5,1,16,0.9,0.469045953913832
0.5,1,0.125,0.4,0.468931381847775
0.5,1,64,1,0.468903475948959
4,1,0.5,0.6,0.468820592980234
0.5,1,0.125,0.5,0.468748281496883
0.0625,2,2048,0.2,0.468655009311999
0.25,3,4,0.4,0.468608890183883
0.0625,8,8,0.6,0.468454160933118
0.5,1,64,0.5,0.468377616370976
0.25,1,2048,0.2,0.468356644507391
4,1,4,1,0.468261533942751
4,1,4,0.3,0.468260777998425
4,1,4,0.9,0.468254886775504
0.125,1,8,0.4,0.468172653769539
0.25,2,256,1,0.468128199005772
0.25,3,32,0.7,0.467988493899803
0.5,1,1,0.2,0.467965614540771
0.5,1,4,0.7,0.467954383972146
0.125,2,32,0.4,0.467817607738604
4,1,4,0.4,0.467808731213934
4,1,2,0.5,0.467729266225297
1,1,0.25,0.7,0.467716989571299
1,1,0.25,0.8,0.467698441811914
