batch_size;neurons;hidden_layers;dropout;epochs;optimization;activation;CORRELATION;FISHER
198;40;2;0.7;10;RMSprop;tanh;0.5304525777757795;0.5907747368817124
198;50;2;0.7;10;RMSprop;linear;0.5279982515502896;0.5873655677655697
198;50;2;0.7;10;RMSprop;tanh;0.526510748679151;0.5853053208269311
198;60;2;0.7;10;RMSprop;tanh;0.5235069710338359;0.5811585403801081
198;60;2;0.7;10;RMSprop;linear;0.5225607714666666;0.5798560163154477
198;60;2;0.7;10;RMSprop;softsign;0.5211327728867915;0.5778936051354784
198;70;2;0.7;10;RMSprop;tanh;0.4925672686816669;0.5394443811952429
198;10;2;0.7;10;RMSprop;linear;0.48901482707872673;0.5347647082019658
198;70;2;0.7;10;RMSprop;linear;0.47945766144414487;0.5222798138987554
198;70;2;0.7;10;RMSprop;softsign;0.42797147034450983;0.4574106483967701
198;10;2;0.7;10;RMSprop;tanh;0.42670691009940687;0.4558635604407667
198;80;2;0.7;10;RMSprop;linear;0.3939022963688775;0.4164106499942113
198;80;2;0.7;10;RMSprop;softsign;0.3835959313419991;0.4042692161623475
198;80;2;0.7;10;RMSprop;tanh;0.376819549624943;0.3963476598988219
198;10;2;0.7;10;RMSprop;softsign;0.36129179291688923;0.3783708327449805
198;90;2;0.7;10;RMSprop;linear;0.3110596452645328;0.3217181396709522
198;20;4;0.4;10;RMSprop;sigmoid;0.5810542913128226;0.6640529192441876
198;30;5;0.4;10;RMSprop;sigmoid;0.5809487378431933;0.6638935781569177
198;20;3;0.4;10;RMSprop;hard_sigmoid;0.5808260915813813;0.6637084712287102
198;30;5;0.4;10;RMSprop;hard_sigmoid;0.5807363981386583;0.6635731243587577
198;20;5;0.4;10;RMSprop;sigmoid;0.5806920758125947;0.6635062500872968
198;40;5;0.4;10;RMSprop;hard_sigmoid;0.5806493337822054;0.6634417651116018
198;50;5;0.4;10;RMSprop;sigmoid;0.580620502506087;0.6633982700422838
198;50;5;0.4;10;RMSprop;hard_sigmoid;0.5805996007292937;0.6633667388459399
198;50;4;0.4;10;RMSprop;hard_sigmoid;0.5805927100691685;0.6633563442526615
198;60;5;0.4;10;RMSprop;hard_sigmoid;0.5805261701203379;0.6632559748808851
198;20;5;0.4;10;RMSprop;hard_sigmoid;0.580526136804144;0.6632559246294112
198;70;5;0.4;10;RMSprop;hard_sigmoid;0.5805189055020428;0.6632450175828348
198;40;4;0.4;10;RMSprop;hard_sigmoid;0.5805164318552968;0.6632412865879704
198;80;5;0.4;10;RMSprop;hard_sigmoid;0.5805083529167877;0.6632291012589087
198;30;4;0.4;10;RMSprop;hard_sigmoid;0.5804467952492826;0.6631362605096043
198;20;4;0.4;10;RMSprop;hard_sigmoid;0.5804387210557264;0.663124083822016
198;100;5;0.4;10;RMSprop;hard_sigmoid;0.5803804110638288;0.6630361516595729
198;30;4;0.4;10;RMSprop;sigmoid;0.5803766365425121;0.6630304599457496
198;40;5;0.4;10;RMSprop;sigmoid;0.5803522284676716;0.6629936551858926
198;70;4;0.4;10;RMSprop;hard_sigmoid;0.580350505474924;0.6629910571569779
198;90;5;0.4;10;RMSprop;hard_sigmoid;0.5803273697391554;0.662956172504632
198;50;3;0.4;10;RMSprop;hard_sigmoid;0.580325302370439;0.6629530553421098
198;60;5;0.4;10;RMSprop;sigmoid;0.5803246887237465;0.6629521300925552
198;70;5;0.4;10;RMSprop;sigmoid;0.5802971215057144;0.6629105655773391
198;40;3;0.4;10;RMSprop;hard_sigmoid;0.5802650487824988;0.6628622104030214
198;50;4;0.4;10;RMSprop;sigmoid;0.5802135239174205;0.6627845334431963
198;20;3;0.4;10;RMSprop;sigmoid;0.5802119372552959;0.6627821415618349
198;80;4;0.4;10;RMSprop;hard_sigmoid;0.5801981912873114;0.6627614198951469
198;60;4;0.4;10;RMSprop;hard_sigmoid;0.5801927000912702;0.6627531422082125
198;80;5;0.4;10;RMSprop;sigmoid;0.5801763528284425;0.6627285000467594
198;40;2;0.4;10;RMSprop;hard_sigmoid;0.5801688987540704;0.662717263873304
198;40;3;0.4;10;RMSprop;sigmoid;0.5801498124045795;0.662688494029421
198;20;2;0.4;10;RMSprop;hard_sigmoid;0.5801184941144787;0.6626412884281657
198;40;4;0.4;10;RMSprop;sigmoid;0.5801125238014077;0.662632289755883
198;30;3;0.4;10;RMSprop;hard_sigmoid;0.5800919997478333;0.6626013558749437
198;90;4;0.4;10;RMSprop;hard_sigmoid;0.5800833739635777;0.6625883554127368
198;100;5;0.4;10;RMSprop;sigmoid;0.5800824867767428;0.6625870182887548
198;30;3;0.4;10;RMSprop;sigmoid;0.5800769854566209;0.6625787270183108
198;90;5;0.4;10;RMSprop;sigmoid;0.5800678519867081;0.6625649617585975
198;70;2;0.4;10;RMSprop;hard_sigmoid;0.5800356079637871;0.6625163678179264
198;70;3;0.4;10;RMSprop;hard_sigmoid;0.5800001000429581;0.6624628581297359
198;100;4;0.4;10;RMSprop;hard_sigmoid;0.579979782032299;0.6624322408099496
198;40;2;0.4;10;RMSprop;sigmoid;0.5799457355783353;0.6623809384624517
198;60;3;0.4;10;RMSprop;hard_sigmoid;0.5799409993829251;0.6623738020450085
198;80;3;0.4;10;RMSprop;hard_sigmoid;0.5799375003256196;0.6623685297638356
198;50;2;0.4;10;RMSprop;hard_sigmoid;0.5799296136899244;0.6623566465211286
198;90;3;0.4;10;RMSprop;hard_sigmoid;0.5798985396861741;0.6623098271456442
198;80;2;0.4;10;RMSprop;hard_sigmoid;0.5798929819916825;0.6623014536042405
198;100;2;0.4;10;RMSprop;hard_sigmoid;0.5798916362304425;0.6622994260153703
198;60;2;0.4;10;RMSprop;hard_sigmoid;0.5798827632476165;0.6622860576703264
198;30;2;0.4;10;RMSprop;sigmoid;0.579857333016431;0.6622477447462927
198;60;4;0.4;10;RMSprop;sigmoid;0.5798480884600753;0.6622338174149237
198;100;3;0.4;10;RMSprop;hard_sigmoid;0.5798477636242058;0.6622333280394682
198;90;2;0.4;10;RMSprop;hard_sigmoid;0.5798414056734904;0.6622237496426386
198;50;2;0.4;10;RMSprop;sigmoid;0.5798376758673165;0.6622181306546321
198;30;2;0.4;10;RMSprop;hard_sigmoid;0.5798132515690926;0.6621813361250163
198;60;2;0.4;10;RMSprop;sigmoid;0.5797877511845956;0.6621429221763462
198;50;3;0.4;10;RMSprop;sigmoid;0.5797712663122188;0.6621180901656378
198;80;4;0.4;10;RMSprop;sigmoid;0.5797644072881734;0.6621077582757519
198;80;2;0.4;10;RMSprop;sigmoid;0.5797568413032728;0.662096361619667
198;70;4;0.4;10;RMSprop;sigmoid;0.579736747858608;0.6620660955604246
198;60;3;0.4;10;RMSprop;sigmoid;0.5797282141627939;0.6620532418715284
198;70;3;0.4;10;RMSprop;sigmoid;0.5797159842050943;0.6620348211046305
198;90;4;0.4;10;RMSprop;sigmoid;0.5796984179605291;0.662008363508791
198;100;2;0.4;10;RMSprop;sigmoid;0.5796845081545522;0.6619874136746035
198;100;4;0.4;10;RMSprop;sigmoid;0.5796433110383921;0.6619253688673333
198;70;2;0.4;10;RMSprop;sigmoid;0.5796427755106549;0.6619245623665915
198;90;2;0.4;10;RMSprop;sigmoid;0.5796316769806233;0.6619078482336331
198;80;3;0.4;10;RMSprop;sigmoid;0.579564924599751;0.661807327502091
198;100;3;0.4;10;RMSprop;sigmoid;0.5795495378450748;0.6617841586361821
198;90;3;0.4;10;RMSprop;sigmoid;0.5795103791995472;0.6617251976503311
198;20;2;0.4;10;RMSprop;sigmoid;0.5792599281114768;0.6613481898950384
198;10;4;0.4;10;RMSprop;hard_sigmoid;0.5789504693657973;0.6608825843414755
198;10;5;0.4;10;RMSprop;softplus;0.5789166008440031;0.6608316416672697
198;20;5;0.4;10;RMSprop;softplus;0.5786033152838118;0.6603605616916289
198;30;5;0.4;10;RMSprop;softplus;0.5780447050170646;0.6595212294075556
198;20;3;0.4;10;RMSprop;softplus;0.5777751111589503;0.6591164460533477
198;30;3;0.4;10;RMSprop;softplus;0.5772957024947727;0.6583971022876806
198;20;4;0.4;10;RMSprop;softplus;0.5770999571016506;0.6581035616878881
198;30;2;0.4;10;RMSprop;softplus;0.5770669253031682;0.6580540368732252
198;30;4;0.4;10;RMSprop;softplus;0.5768672485265283;0.6577547202916454
198;40;4;0.4;10;RMSprop;softplus;0.5767367276738213;0.6575591246706594
198;40;5;0.4;10;RMSprop;softplus;0.5766490248853267;0.6574277200246692
198;10;4;0.4;10;RMSprop;softplus;0.5765359267261982;0.6572582950157597
198;50;2;0.4;10;RMSprop;softplus;0.5764762937661213;0.6571689760756128
198;20;2;0.4;10;RMSprop;softplus;0.5764247638440683;0.6570918013675042
198;50;5;0.4;10;RMSprop;softplus;0.5763170425197155;0.6569304927778405
198;40;2;0.4;10;RMSprop;softplus;0.5762919323703596;0.656892895593671
198;40;3;0.4;10;RMSprop;softplus;0.5761440879814514;0.6566715626455903
198;10;5;0.4;10;RMSprop;sigmoid;0.5754718267991615;0.6556658537271485
198;60;2;0.4;10;RMSprop;softplus;0.575254760896802;0.65534136967187
198;70;2;0.4;10;RMSprop;softplus;0.5750784536513859;0.6550779034018896
198;50;3;0.4;10;RMSprop;softplus;0.5750083520091018;0.6549731685816996
198;50;4;0.4;10;RMSprop;softplus;0.5747967032949713;0.6546570329566903
198;80;2;0.4;10;RMSprop;softplus;0.5746794792146231;0.6544819870258107
198;90;2;0.4;10;RMSprop;softplus;0.5742480651246014;0.6538380770649846
198;100;2;0.4;10;RMSprop;softplus;0.5739255666521905;0.6533570406953388
198;60;3;0.4;10;RMSprop;softplus;0.5739217869431388;0.6533514044835923
198;60;5;0.4;10;RMSprop;softplus;0.5731183062800468;0.6521540999412181
198;60;4;0.4;10;RMSprop;softplus;0.5730321933483635;0.6520258764654985
198;70;3;0.4;10;RMSprop;softplus;0.5725135898886694;0.651254066048768
198;80;3;0.4;10;RMSprop;softplus;0.5709265422390309;0.6488963720401612
198;70;4;0.4;10;RMSprop;softplus;0.5707355332519116;0.6486130397790173
198;70;5;0.4;10;RMSprop;softplus;0.5698895421802648;0.6473592431088127
198;90;3;0.4;10;RMSprop;softplus;0.5690169843736514;0.646067947606932
198;90;5;0.4;10;RMSprop;softplus;0.5678048702453714;0.6442772863299009
198;100;5;0.4;10;RMSprop;softplus;0.5674187404575541;0.6437076194428266
198;100;3;0.4;10;RMSprop;softplus;0.5671485886085486;0.6433092765637041
198;80;4;0.4;10;RMSprop;softplus;0.566990347688792;0.6430760315660475
198;80;5;0.4;10;RMSprop;softplus;0.5663474224612582;0.6421290022164443
198;90;4;0.4;10;RMSprop;softplus;0.5638664109284239;0.6384839545387777
198;100;4;0.4;10;RMSprop;softplus;0.5620814785899634;0.6358708115675595
198;10;2;0.4;10;RMSprop;softsign;0.48867591599246574;0.5343193762103279
198;10;3;0.4;10;RMSprop;sigmoid;0.4884020754032463;0.5339596889258514
198;10;4;0.4;10;RMSprop;sigmoid;0.4853193007426726;0.5299191692588698
198;20;2;0.4;10;RMSprop;softsign;0.48348585541280015;0.5275236157204195
198;10;2;0.4;10;RMSprop;softplus;0.48221831268477044;0.5258707020735838
198;30;2;0.4;10;RMSprop;softsign;0.4798697409848927;0.5228150358623603
198;10;3;0.4;10;RMSprop;softplus;0.47980949399857187;0.5227367680119138
198;40;2;0.4;10;RMSprop;softsign;0.4755050935954148;0.5171599650190265
198;10;2;0.4;10;RMSprop;linear;0.47436786276369314;0.5156915000444274
198;20;2;0.4;10;RMSprop;tanh;0.4735469897110729;0.5146328065768069
198;30;2;0.4;10;RMSprop;tanh;0.47332439226767553;0.5143459019364373
198;30;2;0.4;10;RMSprop;linear;0.4730548580599976;0.5139986050199056
198;40;2;0.4;10;RMSprop;tanh;0.4723909591912265;0.5131436524394566
198;50;2;0.4;10;RMSprop;softsign;0.47179366450601706;0.5123750608024722
198;40;2;0.4;10;RMSprop;linear;0.4713535403546156;0.5118090708434271
198;20;2;0.4;10;RMSprop;linear;0.470637518279598;0.5108889269087075
198;50;2;0.4;10;RMSprop;tanh;0.4690030865086739;0.5087915343378715
198;50;2;0.4;10;RMSprop;linear;0.46781037956218496;0.5072635881828306
198;60;2;0.4;10;RMSprop;linear;0.46579287006335074;0.5046839678779766
198;60;2;0.4;10;RMSprop;tanh;0.46560619384909396;0.5044455940973195
198;60;2;0.4;10;RMSprop;softsign;0.4651012667662924;0.5038010989152428
198;70;2;0.4;10;RMSprop;softsign;0.4616756737778946;0.49943878148312315
198;70;2;0.4;10;RMSprop;tanh;0.4607696047902271;0.4982878867206515
198;10;2;0.4;10;RMSprop;tanh;0.46046661620592866;0.4979033009310296
198;70;2;0.4;10;RMSprop;linear;0.4603257116935788;0.49772449612361724
198;80;2;0.4;10;RMSprop;tanh;0.4580056642201746;0.4947846233457104
198;80;2;0.4;10;RMSprop;linear;0.4579677485574264;0.4947366439085227
198;80;2;0.4;10;RMSprop;softsign;0.456954889077069;0.4934557252572869
198;90;2;0.4;10;RMSprop;tanh;0.4546447073491198;0.49053973350850166
198;100;2;0.4;10;RMSprop;tanh;0.4409996148799093;0.4734710833205037
198;90;2;0.4;10;RMSprop;linear;0.4400735810904521;0.4723220544761535
198;90;2;0.4;10;RMSprop;softsign;0.436817037976946;0.4682905017306568
198;100;2;0.4;10;RMSprop;softsign;0.43335578966996474;0.4640210341704063
198;100;2;0.4;10;RMSprop;linear;0.4327862159312307;0.46331997672547304
198;10;4;0.8;10;RMSprop;hard_sigmoid;0.6998568206521345;0.8670198390284618
198;10;4;0.8;10;RMSprop;sigmoid;0.6995073683689945;0.8663352357123657
198;40;5;0.8;10;RMSprop;hard_sigmoid;0.6992506598051461;0.8658327417660463
198;20;4;0.8;10;RMSprop;hard_sigmoid;0.699219517213057;0.865771805740882
198;30;4;0.8;10;RMSprop;sigmoid;0.6991725486159064;0.8656799131398021
198;30;4;0.8;10;RMSprop;hard_sigmoid;0.6991551064237489;0.8656457910392662
198;80;5;0.8;10;RMSprop;sigmoid;0.6991014847327582;0.8655409013043049
198;60;5;0.8;10;RMSprop;hard_sigmoid;0.6990933420729469;0.8655249747403009
198;20;3;0.8;10;RMSprop;sigmoid;0.6990906246774201;0.8655196597532935
198;100;5;0.8;10;RMSprop;hard_sigmoid;0.6990451202060306;0.8654306628714016
198;30;3;0.8;10;RMSprop;hard_sigmoid;0.6990262278568449;0.8653937167846392
198;90;5;0.8;10;RMSprop;hard_sigmoid;0.6990246165085174;0.8653905657023735
198;80;5;0.8;10;RMSprop;hard_sigmoid;0.6990179754860038;0.8653775789559021
198;70;5;0.8;10;RMSprop;hard_sigmoid;0.6990136329486701;0.8653690871032443
198;80;4;0.8;10;RMSprop;hard_sigmoid;0.6990130584368103;0.8653679636500883
198;20;5;0.8;10;RMSprop;sigmoid;0.6990109652146633;0.8653638703865429
198;50;5;0.8;10;RMSprop;hard_sigmoid;0.6990004404513428;0.8653432897295555
198;60;4;0.8;10;RMSprop;hard_sigmoid;0.6989943626813888;0.8653314052190609
198;50;5;0.8;10;RMSprop;sigmoid;0.6989883781359889;0.8653197031933908
198;70;4;0.8;10;RMSprop;hard_sigmoid;0.6989846849377169;0.8653124817042979
198;80;4;0.8;10;RMSprop;sigmoid;0.6989791748214134;0.8653017076430805
198;90;4;0.8;10;RMSprop;sigmoid;0.6989782728596797;0.8652999440313458
198;90;4;0.8;10;RMSprop;hard_sigmoid;0.6989726605793307;0.8652889704002137
198;100;5;0.8;10;RMSprop;sigmoid;0.6989714371492562;0.8652865782629551
198;60;5;0.8;10;RMSprop;sigmoid;0.6989702538057873;0.8652842645134813
198;50;3;0.8;10;RMSprop;hard_sigmoid;0.698967783134278;0.8652794337213174
198;90;5;0.8;10;RMSprop;sigmoid;0.6989650317265326;0.8652740540566928
198;100;4;0.8;10;RMSprop;hard_sigmoid;0.6989625297200479;0.8652691620667058
198;40;4;0.8;10;RMSprop;hard_sigmoid;0.6989571906062216;0.8652587230004386
198;50;4;0.8;10;RMSprop;hard_sigmoid;0.6989522132130549;0.8652489913097028
198;50;3;0.8;10;RMSprop;sigmoid;0.6989506990564445;0.8652460308899317
198;70;5;0.8;10;RMSprop;sigmoid;0.6989488251352646;0.8652423670895116
198;30;2;0.8;10;RMSprop;hard_sigmoid;0.6989395516179724;0.8652242362314235
198;60;4;0.8;10;RMSprop;sigmoid;0.6989378028911541;0.8652208173085677
198;50;4;0.8;10;RMSprop;sigmoid;0.698934854085054;0.8652150521565994
